"TweetID";"User";;"Latitude";"Longitude";"IsUrl";"IsHashtag";"IsRetweet";"Language";"Category"
42;"EspiriTruth";"RT @DZMMTeleRadyo: PHOTO: Ilang pasahero ng LRT V.Mapa, stranded dahil sa baha sa Sta Mesa #MarioPH http://t.co/0brMfq2PDA | via... http://Ã¢â‚¬Â¦";"NULL";"NULL";1;1;1;"tl";"CH"
44;"VeteranKnows";"RT @LaoMamba: OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH";"NULL";"NULL";1;0;1;"tl";"CH"
45;"JmRiveraaaaa";"RT @LaoMamba: OPEN ANG PSBA-QC PARA MASILUNGAN NGAYON. Just contact 09272214969 for more info #FloodPH #RescuePH #MarioPH";"NULL";"NULL";1;0;1;"tl";"CH"
58;"princessbendita";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
59;"imalekzandra";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
60;"BasangTalaheb";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
61;"StevenDequino_";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
62;"Oneeeeengg";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
63;"clingyboypren";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
64;"krssstyncrimen";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
65;"anjewicuh";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
66;"ruffaguchenez";"Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http://t.co/pldmSVpRmV";"NULL";"NULL";1;0;0;"tl";"CH"
273;"MariaRoann";"RT @yelpalisoc: @TheMayorLIM Sir pahelp po magRT #ReliefPH sa Leodegracio Victorino Elem. School po may mga evacuees po, wala daw pong kuryÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
274;"coachyella";"RT @yelpalisoc: @TheMayorLIM Sir pahelp po magRT #ReliefPH sa Leodegracio Victorino Elem. School po may mga evacuees po, wala daw pong kuryÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
275;"TheMayorLIM";"RT @yelpalisoc: @TheMayorLIM Sir pahelp po magRT #ReliefPH sa Leodegracio Victorino Elem. School po may mga evacuees po, wala daw pong kuryÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
278;"CitizenPatrol";"Sa vmac sports complex naman sa New lower,taguig ay may 16 pamilya at 55 indibidwal ang nasa evacuation center. #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CH"
279;"CitizenPatrol";"Sa bgy. New Lower,Rp Cruz Elem ay tinatayang may 78 na pamilya at 336 indibidwal ang naapektuhan ng bagyong mario. #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CH"
281;"nyzelle_paz";"RT @kyutkhulet06: ""@itsandreaernii: Paki-rescue si @marlo_mortel nasa Cainta siya, stranded for 9hrs. #RescuePH""";"NULL";"NULL";1;0;1;"tl";"CH"
284;"CitizenPatrol";"Sa Cayetano High school,bgy. Ususan sa taguig ay umabot na sa 54 na pamilya ang nailikas at nasa 390 naman ang indibidwal.#MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CH"
296;"carol_bayhon15";"RT @infinity_jadine: OFF TOPIC GUYS #RescueMarloMortel 9hrs na syang Stranded sa loob ng car nya magisa sa cainta . #RescuePH #RescuePH #ReÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
297;"katolikongpinoy";"RT @CamilleRaeV: @DivinemLee #RescuePH Aquilino Silva 09267777459 blk. 66 Roga Compound, Tumana, Marikina from @gmcardenas23";"NULL";"NULL";1;0;0;"tl";"CH"
298;"CamilleRaeV";"@DivinemLee #RescuePH Aquilino Silva 09267777459 blk. 66 Roga Compound, Tumana, Marikina from @gmcardenas23";"NULL";"NULL";1;0;0;"tl";"CH"
299;"cincodeziall";"RT @eulajemilgo: @DivinemLee Aquilino Silva, blk. 66 Roga Compound, Tumana, Marikina. 09267777459. #RescuePH";"NULL";"NULL";1;0;1;"tl";"CH"
300;"katolikongpinoy";"RT @eulajemilgo: @DivinemLee Aquilino Silva, blk. 66 Roga Compound, Tumana, Marikina. 09267777459. #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
301;"eulajemilgo";"@DivinemLee Aquilino Silva, blk. 66 Roga Compound, Tumana, Marikina. 09267777459. #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
306;"fauangeline";"Der r families who needs rescue in Rd 4 Dona Petra Del Rosario,Tumana, Marikina City. Nsa 2ndflr po sila. 09159588046 Allan Arpon #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
307;"justcallmelloyd";"RT @yelpalisoc: @philredcross #ReliefPH Good PM po, sa Leodegracio Victorino Elementary School po may mga evacuees po wala daw pong kuryentÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
316;"ReliefPHcom";"RT @yelpalisoc: @TheMayorLIM Sir pahelp po magRT #ReliefPH sa Leodegracio Victorino Elem. School po may mga evacuees po, wala daw pong kuryÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
318;"kuuhtrina";"People are trapped in their roofs at BRGY TATALON Quezon City. Wla prn ngrrescue skanila until now. #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
329;"IvanGeroDomingo";"Paki rescue po Luloy CerbitoMacopa St, Banawe QC. Yung may maliit na basketball court dun. #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
330;"CitizenPatrol";"Isang Ginang natrapped sa bubong sa Blk.44 mais street bgy.tumana. #MarioPH #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
347;"gegegegem30";"RT @antudjays: @ANCALERTS baha po sa may F. Roman St., San Juan City... wala pa rescuer... lagpas tao na... #MarioPH #RescuePH http://t.co/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
425;"KJDumapit";"RT @CitizenPatrol: S 10th St.Youngstown Village,Cainta, Rizal,1 pamilya ang natrapped s loob ng knilang bahay at umabot n s dibdib ang bahaÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
436;"Adi_thePanda";"#RESCUEPH Nasa bubungan na ng kani-kanilang bahay ang mga residente sa E. Rod cor. Araneta Ave habang naghihintay ng rescue -@michaelfajatin";"NULL";"NULL";1;0;0;"tl";"CH"
555;"MW_BULACAN";"RT @DZMMTeleRadyo: Halos 10-oras nang stranded sa Cainta dahil sa baha si Marlo Mortel (Nicolo sa BCWMH) #MarioPH http://t.co/XgnOyg9Gbs htÃ¢â‚¬Â¦";"NULL";"NULL";1;1;1;"tl";"CH"
566;"jmiehalienmitch";"RT @JIErectioner: @gmanews #MarioPH #RescuePH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd floor.mÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
568;"katolikongpinoy";"RT @JIErectioner: @gmanews #MarioPH #RescuePH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd floor.mÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
569;"anetdin83";"RT @JIErectioner: @gmanews #MarioPH #RescuePH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd floor.mÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
573;"JIErectioner";"@gmanews #MarioPH #RescuePH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd floor.my mga mttnda po.";"NULL";"NULL";1;0;0;"tl";"CH"
574;"JIErectioner";"@gmanews #MarioPH #RescuePH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd floor.my mga mttnda poH";"NULL";"NULL";1;0;0;"tl";"CH"
580;"JIErectioner";"#MarioPH #RescuePH @IMReadyPH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd floor.my mga mttnda po";"NULL";"NULL";1;0;0;"tl";"CH"
595;"anetdin83";"RT @JIErectioner: #RescuePH @gmanews @IMReadyPH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd flooÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
602;"JIErectioner";"#RescuePH @gmanews @IMReadyPH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd floor.my mga mttnda poh";"NULL";"NULL";1;0;0;"tl";"CH"
605;"JIErectioner";"#RescuePH @gmanews @IMReadyPH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd floor.my mga mttnda po-";"NULL";"NULL";1;0;0;"tl";"CH"
607;"JIErectioner";"#RescuePH @gmanews @IMReadyPH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd floor.my mga mttnda po.";"NULL";"NULL";1;0;0;"tl";"CH"
608;"JIErectioner";"#RescuePH @gmanews @IMReadyPH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd floor.my mga mttnda po";"NULL";"NULL";1;0;0;"tl";"CH"
621;"AudreyMaye";"RT @LakasdiwaCBA: #RescuePH twinville sub, fairlane, marikina Alexis Leyva, 09264645374. dalawa po sila. Nasa second floor na daw tubig PLSÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
625;"leahurtula";"RT @JIErectioner: #RescuePH @gmanews @IMReadyPH Sa Tumana,labanos po. Sa marikina. May mga nnghhngi ng rescue lagpas na dw cla sa 2nd floÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
633;"JIErectioner";"#RescuePH @gmanews @IMReadyPH Sa Tumana,labanos po. Sa marikina. May mga nnghhngi ng rescue lagpas na dw cla sa 2nd floor.my mga mttnda-";"NULL";"NULL";1;0;0;"tl";"CH"
635;"JIErectioner";"#RescuePH @gmanews @IMReadyPH Sa Tumana,labanos po. Sa marikina. May mga nnghhngi ng rescue lagpas na dw cla sa 2nd floor.my mga mttnda..";"NULL";"NULL";1;0;0;"tl";"CH"
669;"princessbendita";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
670;"imalekzandra";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
671;"BasangTalaheb";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
672;"StevenDequino_";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
673;"Oneeeeengg";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
674;"clingyboypren";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
675;"krssstyncrimen";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
676;"anjewicuh";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
677;"ruffaguchenez";"Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http://t.co/pldmSVpRmV";"NULL";"NULL";1;0;0;"tl";"CH"
716;"KuyaTonipet";"RT! My dear Blogger friends, baka may kakilala kayo. Hope you could cascade.. Mga evacuees daw sa Sto. Domingo Church need #ReliefPH.";"NULL";"NULL";1;0;0;"tl";"CH"
719;"GorgeousTyziel";"RT @KuyaTonipet: RT! My dear Blogger friends, baka may kakilala kayo. Hope you could cascade.. Mga evacuees daw sa Sto. Domingo Church needÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
767;"maphnie";"More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CH"
772;"MattLeeShoots";"RT @maphnie: More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH";"NULL";"NULL";1;0;1;"tl";"CH"
775;"SheWantsTheDIM";"RT @maphnie: More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH";"NULL";"NULL";1;0;1;"tl";"CH"
776;"icohizon";"RT @maphnie: More than 2k families na yung nasa Sto. Domingo Church. Hindi na nila kaya iaccommodate lahat. Need food & water. #ReliefPH";"NULL";"NULL";1;0;1;"tl";"CH"
824;"cincodeziall";"Purok 5, Indigo Phase 1, Malanday, Marikina, Muntinlupa, Metro Manila #RescuePH";"NULL";"NULL";1;0;0;"tl";"CH"
832;"ABSCBNRedAlert";"@ABSCBNNews @philredcross @SagipKapamilya RT @yelpalisoc: @ABSCBNRedAlert #ReliefPH Good PM po, sa Leodegracio Victorino Elementary...";"NULL";"NULL";1;0;0;"tl";"CH"
1227;"CitizenPatrol";"Aabot sa 2,000 Evacuees sa Sto. Domingo Church nangangailangan ng tubig. #MarioPH #ReliefPH";"NULL";"NULL";1;0;0;"tl";"CH"
1250;"KJDumapit";"RT @CitizenPatrol: Sa PUP Sta. Mesa, maraming estudyante ang stranded dahil sa hindi maagap na pagdeklara ng suspensyon ng klase. #MarioPH Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
1283;"JIErectioner";"@gmanews #MarioPH #RescuePH Sa Tumana,labanos po. Sa marikina. Need an immediate rescue lagpas na dw cla sa 2nd floor.my mga mttnda po..";"NULL";"NULL";1;0;0;"tl";"CH"
1307;"princessbendita";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
1308;"imalekzandra";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
1309;"BasangTalaheb";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
1310;"StevenDequino_";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
1311;"Oneeeeengg";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
1312;"clingyboypren";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
1313;"krssstyncrimen";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
1314;"anjewicuh";"RT @ruffaguchenez: Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http:/Ã¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
1315;"ruffaguchenez";"Hi @RescuePH i need help kasi nabaha kami at wala kong bra #RescuePH #marioph #DahilMayBagyoNgayon #TheRealEnding http://t.co/pldmSVpRmV";"NULL";"NULL";1;0;0;"tl";"CH"
1354;"KuyaTonipet";"RT! My dear Blogger friends, baka may kakilala kayo. Hope you could cascade.. Mga evacuees daw sa Sto. Domingo Church need #ReliefPH.";"NULL";"NULL";1;0;0;"tl";"CH"
1357;"GorgeousTyziel";"RT @KuyaTonipet: RT! My dear Blogger friends, baka may kakilala kayo. Hope you could cascade.. Mga evacuees daw sa Sto. Domingo Church needÃ¢â‚¬Â¦";"NULL";"NULL";1;0;1;"tl";"CH"
